CORP,FLEET,UNIT,LOG
1,5778,E10271  ,8334336
1,5778,E10289  ,8334354
1,5778,E10311  ,8334379
1,3104,91032,8334493
1,3104,91035,8334614
98,204309,568,8334937
98,308261,2011004,8335337
1,4907,87,8335602
1,4711,44,8335810
1,3104,91046,8336197
1,61,31060,8338279
1,61,31059,8338282
1,4706,21037,8338581
1,1171,11008,8338652
1,7680,21110,8339044
1,3969,10081,8339101
1,100279,87,8339226
1,3104,91076,8339499
1,61,31065,8339643
1,3104,91084,8339736
1,5189,2011008,8339920
1,3104,91086,8340272
1,4706,21041,8340418
1,3104,91093,8340516
1,3104,91098,8340530
1,496,2124,8341101
1,358,99412,8341198
1,3104,91113,8341464
1,3104,91114,8341466
1,3104,91115,8341469
1,3104,91122,8341517
1,3104,91133,8341574
1,4411,211043,8341734
1,4411,211044,8341735
1,4411,211046,8341737
1,4411,211053,8341744
1,4411,211058,8341749
1,4411,211060,8341751
1,4411,211081,8341775
1,4411,211091,8343928
1,6976,459566,8344143
98,308261,2011017,8344643
1,917,21227,8345010
1,6976,459576,8345377
1,3496,2414006,8345461
1,3496,2414007,8345464
1,3496,2416009,8345479
1,3496,2412016,8345516
1,3496,2412017,8345522
1,3496,2414011,8345525
1,123026,726498,8345591
1,161,61476,8345881
1,4938,1105,8345937
1,4411,211106,8346521
1,4411,211107,8346522
1,3496,2401070,8346539
1,4411,211116,8346542
1,123026,726500,8346571
1,3496,2401072,8346644
1,3496,1101032,8346647
1,3496,2401074,8346663
1,3496,2401075,8346670
1,123026,726502,8347334
1,4411,211137,8350585
1,4411,211139,8350587
1,4411,211140,8350630
98,300083,88,8350634
1,4455,20015,8350674
1,123026,726505,8350718
98,72631,27,8350956
1,4411,211145,8351042
1,4411,211146,8351043
1,6976,459595,8351395
1,4352,2010245,8352106
1,3496,1208004,8352190
1,3496,1208005,8352195
1,3496,1107055,8352218
1,3496,1107056,8352224
1,3496,1107058,8352227
1,3496,1211011,8352714
1,3496,1210016,8352795
1,3496,2411023,8353438
1,3496,2411022,8353445
1,3496,2413037,8353453
1,3496,2413038,8353455
1,3496,2406017,8353462
1,3496,2406018,8353463
1,4387,210557,8353742
1,100845,9911036,8353851
1,3496,1103031,8354075
1,100845,9911047,8354892
1,6976,459646,8354922
1,1524,87640,8355627
1,3496,1115025,8356071
1,3496,2407077,8356093
1,3496,2407079,8356112
1,3943,10149,8356114
1,3496,2415032,8356142
1,3496,2408017,8356636
1,3496,2408018,8356638
1,3496,2407082,8356644
1,100482,48200149,8357074
1,4411,211164,8357739
1,3496,2403076,8357747
1,3496,1112012,8357757
1,100845,9911086,8357768
98,226993,1116,8357907
1,4714,2011203,8358047
98,312145,201110,8358311
98,312145,201114,8358337
1,5529,10101,8359637
1,100845,9911103,8361485
1,100845,9911116,8362102
1,100845,9911120,8362106
1,100845,9911130,8362158
1,3066,11518,8362806
1,5529,10109,8362816
1,4714,2011211,8362836
1,100845,9911157,8363054
1,100845,9911161,8363059
1,1518,201124,8363217
1,123026,726513,8363791
1,100845,9911201,8363996
1,4793,303,8364071
1,4631,219,8364215
1,5529,10110,8364225
98,308261,2011046,8364284
1,4709,201114,8364778
1,3496,2407083,8365411
1,100845,9911215,8365671
98,75060,168,8366484
1,4352,2010261,8367315
1,4679,28122,8367372
1,5789,214902,8367442
98,226993,1139,8367528
1,103754,9911088,8367544
1,8199,24782,8367647
1,3066,11567,8368042
1,5721,20110669,8368415
1,8199,371356,8368664
1,4631,220,8369789
98,702004,51,8369792
1,3104,91142,8369801
1,3104,91072,8370580
1,3104,91079,8370584
1,3104,91085,8370798
1,3104,91101,8370805
1,100845,9911237,8371279
1,8199,371368,8371844
1,100482,48200151,8371858
98,312145,201149,8371922
1,6976,459716,8372797
1,6976,459727,8372825
1,2344,102778,8373020
98,72407,20100048,8373571
1,406,11078,8373674
1,4672,41004,8374359
1,100845,9911263,8374487
1,100845,9911264,8374488
1,100845,9911291,8374516
1,100845,9911315,8374544
1,100845,9911339,8374784
1,100845,9911365,8374980
1,100845,9911377,8374994
1,100845,9911385,8375481
1,100845,9911398,8375503
1,100845,9911403,8375508
1,1512,11003,8376078
1,100845,9911447,8377709
1,100845,9911453,8378171
1,100845,9911456,8378174
1,123026,726520,8378208
1,123026,726522,8378221
1,123026,726523,8378227
1,123026,726524,8378230
1,123026,726525,8378232
1,123026,726526,8378238
1,100845,9911462,8378646
98,313670,2010050,8379168
98,313670,2010078,8379196
1,3943,1513,8379217
1,100845,9911478,8380050
1,100845,9911484,8380057
98,308361,251,8380659
1,406,11101,8381450
1,406,11102,8381473
1,6976,459741,8381675
1,101385,390,8381836
1,123026,726530,8383163
1,102204,2071,8383226
1,800008,201107,8384565
1,358,99464,8385631
1,6341,5787,8385728
1,6976,459758,8386398
1,6976,459759,8386399
1,4071,21152,8386593
1,4714,11222,8387250
1,6518,0001223S,8387598
1,101376,185,8388830
1,100845,9911518,8388895
1,800008,201128,8389564
98,308261,2011081,8389860
1,103754,9911126,8390248
1,3943,1516,8390450
1,3496,2414008,8390854
1,3983,27056,8390861
1,358,99480,8392537
98,308261,2011087,8393834
98,308261,2011088,8393840
1,4411,211184,8394169
1,3496,1114001,8394396
1,800008,201137,8394700
1,123026,726546,8394791
1,3703,210287,8395034
1,4938,1110,8395267
1,4071,21211,8395320
1,358,99491,8395882
1,4682,28306,8397924
1,100003,21122,8398402
1,100077,1008,8398813
1,3703,210367,8399430
1,123026,726547,8399844
1,4672,11084,8399922
1,3703,210353,8400795
1,3703,210368,8400820
1,2209,11748,8403045
1,123026,726551,8403572
1,8199,371456,8403843
98,308361,260,8404419
98,306881,27390,8404836
1,8199,371458,8404920
1,161,61756,8405064
1,123026,726555,8405110
1,123026,726556,8405133
1,123026,726557,8405136
1,100845,7711005,8406843
1,358,99514,8407369
1,4352,2010282,8407536
1,100077,1038,8408338
1,100077,1039,8408339
98,309273,211,8409096
1,3531,21002,8409669
1,4709,14,8409797
1,4652,177,8409977
1,4652,179,8409980
1,3943,1551,8410105
1,3943,1553,8410155
1,123026,726560,8410327
1,3066,11771,8411760
1,624,11065,8411860
1,123026,726562,8411966
1,123026,726564,8412055
1,4656,128,8412090
1,123026,726566,8412187
1,5432,10642,8412333
1,101373,454,8412904
1,5778,E10966  ,8413231
1,5778,E10967  ,8413232
1,5002,21205,8413310
1,6976,459811,8414009
1,6976,459816,8414019
1,123026,726569,8414053
1,101291,9939332,8414603
98,308261,2011122,8414606
98,308261,2011123,8414616
1,100077,1053,8414683
1,102204,2395,8414892
1,2344,102886,8417089
1,123026,726570,8417534
1,2344,102926,8417994
1,2344,103107,8418254
1,123026,726572,8418548
1,123026,726576,8418586
1,2344,103265,8418856
1,123026,726577,8419246
1,358,99531,8419532
1,4411,211189,8420763
1,4793,333,8421056
1,4645,28134,8421080
98,610005,201101,8424047
1,123026,726578,8424142
1,6976,459850,8424750
1,2344,103694,8425655
1,100845,7711010,8426325
98,308361,266,8426586
1,6976,459871,8426820
1,6976,459877,8426840
1,800008,201152,8427361
1,3943,1564,8427959
1,5789,215944,8429022
1,5789,215967,8429050
1,5678,12343,8429605
1,5789,216012,8429780
1,972,3307,8429807
98,313551,20110001,8429929
1,5789,216054,8431194
98,308261,2011138,8431749
1,4714,11250,8431844
1,5529,10130,8432408
1,5529,10131,8432423
1,123026,726581,8433326
1,3969,10169,8433457
1,101380,399,8433481
