File Name,Date,Time,Connector Name,Records,Duration (ms)
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:56:22,IncrementalIndividualConnector,19,22000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:57:22,IncrementalVehicleConnector,399,22000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:58:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:58:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:58:19,IncrementalIndividualConnector,19,19000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:00:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:00:12,IncrementalLevelStructureConnector,0,12000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:00:22,IncrementalIndividualConnector,19,22000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:01:15,IncrementalVehicleConnector,399,15000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:02:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:02:10,IncrementalLevelStructureConnector,0,10000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:02:20,IncrementalIndividualConnector,19,20000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:04:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:04:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:04:21,IncrementalIndividualConnector,19,21000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:05:21,IncrementalVehicleConnector,399,21000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:06:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:06:11,IncrementalLevelStructureConnector,0,10000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:06:20,IncrementalIndividualConnector,19,20000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,01:08:01,IncrementalSecurityConnector,0,1000
